year,ticker,time
113,1540,20240711
113,1560,20240711
113,2107,20240711
113,2705,20240711
113,3064,20240711
113,3066,20240711
113,3067,20240711
113,3071,20240711
113,3073,20240711
113,3078,20240711
113,3583,20240711
113,4722,20240711
113,4950,20240711
113,5432,20240711
113,6186,20240711
113,6198,20240711
113,6412,20240711
113,6414,20240711
113,6415,20240711
113,6416,20240711
113,6423,20240711
113,6426,20240711
113,6431,20240711
113,6438,20240711
113,6442,20240711
113,6469,20240711
113,6470,20240711
113,6482,20240711
113,6485,20240711
113,6486,20240711
113,6541,20240711
113,6624,20240711
113,6649,20240711
113,6657,20240711
113,6661,20240711
113,6662,20240711
113,6664,20240711
113,6667,20240711
113,6679,20240711
113,6680,20240711
113,6776,20240711
113,6859,20240711
113,6904,20240711
113,6957,20240711
113,8038,20240711
113,8059,20240711
113,8080,20240711
113,8089,20240711
113,8096,20240711
113,8121,20240711
113,8171,20240711
113,8182,20240711
113,8255,20240711
113,8289,20240711
113,8403,20240711
113,8409,20240711
113,8433,20240711
113,8435,20240711
113,8436,20240711
113,8437,20240711
113,8935,20240711
113,910861,20240711
113,9949,20240711
